24054|1721.24
24055|1426.58
24056|1555.39
24057|1484.22
24058|1793.77
24059|1770.32
24060|1607.48
24061|1643.04
24062|1625.27
24063|1474.92
24064|1398.16
24065|1451.60
24066|1633.22
24067|1462.98
24068|1795.73
24069|1344.47
24070|1656.38
24071|1662.46
24072|1529.92
24073|1326.88
24074|1614.30
24076|1467.75
24077|1735.90
24078|1730.95
24079|1658.45
24080|1617.01
24081|1713.00
24082|1875.39
24083|1631.53
24084|1563.25
24085|1684.79
24086|1653.51
24087|1669.60
24088|1458.78
24089|1462.42
24090|1625.68
24091|1566.48
24092|1541.93
24093|1462.59
24094|1450.44
24095|1350.50
24096|1471.41
24097|1570.57
24098|1302.96
24099|1640.65
24100|1584.26
24101|1588.09
24103|1748.11
24104|1619.13
24105|1671.94
24106|1570.09
24107|1724.10
24108|1687.63
24109|1647.63
24110|1699.36
