Lote,ID_bioreactor,F_h_init_in,F_h_end_in,Volumen_cultivo,Turbidez_init,Turbidez_end,Vialidad_end,Duracion_inoculo,Agitation_PV_min,Agitation_PV_max,Agitation_PV_mean,Air_Sparge_PV_min,Air_Sparge_PV_max,Air_Sparge_PV_mean,Pressure_PV_min,Pressure_PV_max,Pressure_PV_mean,DO_1_PV_min,DO_1_PV_max,DO_1_PV_mean,DO_2_PV_min,DO_2_PV_max,DO_2_PV_mean,Gas_Overlay_PV_min,Gas_Overlay_PV_max,Gas_Overlay_PV_mean,Load_Cell_Net_PV_min,Load_Cell_Net_PV_max,Load_Cell_Net_PV_mean,pH_1_PV_min,pH_1_PV_max,pH_1_PV_mean,pH_2_PV_min,pH_2_PV_max,pH_2_PV_mean,PUMP_1_PV_min,PUMP_1_PV_max,PUMP_1_PV_mean,PUMP_1_TOTAL_min,PUMP_1_TOTAL_max,PUMP_1_TOTAL_mean,PUMP_2_PV_min,PUMP_2_PV_max,PUMP_2_PV_mean,PUMP_2_TOTAL_min,PUMP_2_TOTAL_max,PUMP_2_TOTAL_mean,Single_Use_DO_PV_min,Single_Use_DO_PV_max,Single_Use_DO_PV_mean,Single_Use_pH_PV_min,Single_Use_pH_PV_max,Single_Use_pH_PV_mean,Temperatura_PV_min,Temperatura_PV_max,Temperatura_PV_mean,Turbidez_min,Turbidez_mean,Turbidez_max,Viabilidad_min,Viabilidad_mean,Viabilidad_max
23019,13171,2023-03-20 07:24:00,2023-03-21 06:47:00,168.16,,32.800000000000004,134400000.0,0 days 23:23:00,0.0,72.0,47.39840247016168,0.0,16.00090491781472,0.6199897848891185,-1.7357761097438005,480.0,160.84295757738144,0.0,78.44600219726561,8.495116986698882,0.0,0.0,0.0,0.0,4.0047458543375685,2.6525487607518885,-6.719999694824216,168.9178194230384,101.94267330912353,-527.3871582031248,6.024343109130856,-173.23895313588565,-0.8517827987670881,7.815119533215536,2.1156896943323926,0.0,0.0,0.0,4.959999847412113,17.3600006103516,9.918946625804583,0.0,1.973383247459328,0.007005846026546118,0.0,31.47854309082032,0.22325207865830016,6.4951615361121045,875.3605468750001,556.379780940818,5.855999755859376,800.391992187504,524.2885260393147,3.176000976562504,29.823999023437523,20.184518147950577,32.800000000000004,32.800000000000004,32.800000000000004,134400000.0,134400000.0,134400000.0
23020,13171,2023-03-20 07:24:00,2023-03-21 06:47:00,168.16,,32.800000000000004,134400000.0,0 days 23:23:00,0.0,72.0,47.39840247016168,0.0,16.00090491781472,0.6199897848891185,-1.7357761097438005,480.0,160.84295757738144,0.0,78.44600219726561,8.495116986698882,0.0,0.0,0.0,0.0,4.0047458543375685,2.6525487607518885,-6.719999694824216,168.9178194230384,101.94267330912353,-527.3871582031248,6.024343109130856,-173.23895313588565,-0.8517827987670881,7.815119533215536,2.1156896943323926,0.0,0.0,0.0,4.959999847412113,17.3600006103516,9.918946625804583,0.0,1.973383247459328,0.007005846026546118,0.0,31.47854309082032,0.22325207865830016,6.4951615361121045,875.3605468750001,556.379780940818,5.855999755859376,800.391992187504,524.2885260393147,3.176000976562504,29.823999023437523,20.184518147950577,32.800000000000004,32.800000000000004,32.800000000000004,134400000.0,134400000.0,134400000.0
23021,14618,2023-03-21 06:37:00,2023-03-22 06:55:00,168.0,,27.84,115200000.0,1 days 00:18:00,0.0,72.0,24.785526920858167,0.0,15.99877833686632,0.6521431163157311,-0.9056521600002,480.0,203.72388149403633,0.0,91.0729120981016,9.306233474735238,0.0,0.0,0.0,0.0,4.001570426190976,1.3883291803947957,-6.800000000000001,164.3707895139544,51.162375767883006,-527.3871582031248,6.0504745483398406,-174.5887688947148,-0.8517827987670881,5.951926422119144,2.755083927765235,0.0,0.0,0.0,0.4223386357617104,17.3600006103516,9.774505104467048,0.0,3.4799608978271523,0.05332669983794498,0.0,75.44678955078129,27.81430135546539,5.545070320753257,875.3605468750001,550.0012732309567,6.000000381469729,800.519970703128,516.5714775352512,15.313411246579282,29.768005371093764,21.80321826462536,27.84,27.84,27.84,115200000.0,115200000.0,115200000.0
23022,14618,2023-03-21 06:37:00,2023-03-22 06:55:00,168.0,,27.84,115200000.0,1 days 00:18:00,0.0,72.0,24.785526920858167,0.0,15.99877833686632,0.6521431163157311,-0.9056521600002,480.0,203.72388149403633,0.0,91.0729120981016,9.306233474735238,0.0,0.0,0.0,0.0,4.001570426190976,1.3883291803947957,-6.800000000000001,164.3707895139544,51.162375767883006,-527.3871582031248,6.0504745483398406,-174.5887688947148,-0.8517827987670881,5.951926422119144,2.755083927765235,0.0,0.0,0.0,0.4223386357617104,17.3600006103516,9.774505104467048,0.0,3.4799608978271523,0.05332669983794498,0.0,75.44678955078129,27.81430135546539,5.545070320753257,875.3605468750001,550.0012732309567,6.000000381469729,800.519970703128,516.5714775352512,15.313411246579282,29.768005371093764,21.80321826462536,27.84,27.84,27.84,115200000.0,115200000.0,115200000.0
23023,14618,2023-03-27 07:22:00,2023-03-28 07:29:00,155.20000000000002,18.24,31.680000000000003,106400000.0,1 days 00:07:00,32.0,72.0,69.11111111111111,0.0,16.001402512337922,1.0204383594246964,-1.7359798770416242,4.866567601127688,1.3873467051805355,0.0,85.1834712602928,20.543770717461843,0.0,89.33770751953121,0.5879781511094833,0.0,4.001241474307888,3.9722164632574897,98.0799987792968,162.5244846175496,137.69475106620328,-527.3871582031248,7.038153494813961,-170.6074775625686,-0.8517827987670881,5.918625090781017,2.737068978670912,0.0,0.0,0.0,0.0,96.7199707031248,38.41463238633152,0.0,8.0,0.3380665082190806,0.0,1683.320507812504,252.32901123311578,8.95533065795896,799.9919921875,278.46781919833063,5.759927206508096,800.391992187504,259.70557654739525,3.1440002441406243,30.01582639485432,24.926819656783998,18.24,21.824000000000005,31.680000000000003,10880000.0,37728000.0,106400000.0
23024,14618,2023-03-27 07:22:00,2023-03-28 07:29:00,155.20000000000002,18.24,31.680000000000003,106400000.0,1 days 00:07:00,32.0,72.0,69.11111111111111,0.0,16.001402512337922,1.0204383594246964,-1.7359798770416242,4.866567601127688,1.3873467051805355,0.0,85.1834712602928,20.543770717461843,0.0,89.33770751953121,0.5879781511094833,0.0,4.001241474307888,3.9722164632574897,98.0799987792968,162.5244846175496,137.69475106620328,-527.3871582031248,7.038153494813961,-170.6074775625686,-0.8517827987670881,5.918625090781017,2.737068978670912,0.0,0.0,0.0,0.0,96.7199707031248,38.41463238633152,0.0,8.0,0.3380665082190806,0.0,1683.320507812504,252.32901123311578,8.95533065795896,799.9919921875,278.46781919833063,5.759927206508096,800.391992187504,259.70557654739525,3.1440002441406243,30.01582639485432,24.926819656783998,18.24,21.824000000000005,31.680000000000003,10880000.0,37728000.0,106400000.0
23025,13172,2023-03-28 07:42:00,2023-03-29 06:43:00,157.60000000000002,16.96,27.6,84800000.0,0 days 23:01:00,0.0,72.0,44.81159420289855,0.0,15.98833780875488,1.2273653738170947,-0.5615171578692296,480.0,152.41535840314586,0.0,77.07270507812505,7.065150949361239,0.0,73.62686157226561,7.6029202320087546,0.0,4.001620835147008,2.579717314051745,-6.719999694824216,159.84000244140643,85.31877920677069,-527.3871582031248,6.10507125854492,-171.79647957837292,-0.8517827987670881,6.460079069403472,1.1286019599423056,0.0,0.0,0.0,0.0,96.7199707031248,38.17285921626274,0.0,7.204369783269399,0.12397143819855327,0.0,2558.739257812504,821.3510823916636,1.636511269325072,711.8633300781248,247.06154078895833,5.776032603028336,800.0799804687521,264.9972995965465,16.783867049120722,30.03199462890624,25.79870501128234,16.96,19.872000000000003,27.6,5192000.0,26296000.0,84800000.0
23026,13172,2023-03-28 07:42:00,2023-03-29 06:43:00,157.60000000000002,16.96,27.6,84800000.0,0 days 23:01:00,0.0,72.0,44.81159420289855,0.0,15.98833780875488,1.2273653738170947,-0.5615171578692296,480.0,152.41535840314586,0.0,77.07270507812505,7.065150949361239,0.0,73.62686157226561,7.6029202320087546,0.0,4.001620835147008,2.579717314051745,-6.719999694824216,159.84000244140643,85.31877920677069,-527.3871582031248,6.10507125854492,-171.79647957837292,-0.8517827987670881,6.460079069403472,1.1286019599423056,0.0,0.0,0.0,0.0,96.7199707031248,38.17285921626274,0.0,7.204369783269399,0.12397143819855327,0.0,2558.739257812504,821.3510823916636,1.636511269325072,711.8633300781248,247.06154078895833,5.776032603028336,800.0799804687521,264.9972995965465,16.783867049120722,30.03199462890624,25.79870501128234,16.96,19.872000000000003,27.6,5192000.0,26296000.0,84800000.0
23027,13172,2023-04-03 13:30:00,2023-04-04 11:35:00,168.0,18.880000000000003,23.52,104800000.0,0 days 22:05:00,0.0,72.0,23.151968500212202,0.0,15.99896749923776,0.36235186008448933,0.7751359073507424,480.0,320.6707581408317,0.0,0.0,0.0,0.0,77.89590454101561,8.066788367520973,0.0,4.0007832824466565,1.3033588055274337,-7.2,172.8800048828128,48.972806183745654,-527.3871582031248,5.990534973144528,-171.20076614424363,-0.8517827987670881,3.2,1.0641560637551344,0.0,0.0,0.0,1.759408123551776,96.7199707031248,41.54324627028669,0.0,4.277579133811656,0.02011597755658678,0.0,4360.263281250001,1390.6808476401523,15.04448242187504,757.1379882812504,484.13524791526373,5.960000228881832,800.487988281248,541.4750757782564,15.83199462890624,29.95200195312504,21.522095120154805,18.880000000000003,20.84,23.52,4848000.0,36172000.0,104800000.0
23028,13172,2023-04-03 13:30:00,2023-04-04 11:35:00,168.0,18.880000000000003,23.52,104800000.0,0 days 22:05:00,0.0,72.0,23.151968500212202,0.0,15.99896749923776,0.36235186008448933,0.7751359073507424,480.0,320.6707581408317,0.0,0.0,0.0,0.0,77.89590454101561,8.066788367520973,0.0,4.0007832824466565,1.3033588055274337,-7.2,172.8800048828128,48.972806183745654,-527.3871582031248,5.990534973144528,-171.20076614424363,-0.8517827987670881,3.2,1.0641560637551344,0.0,0.0,0.0,1.759408123551776,96.7199707031248,41.54324627028669,0.0,4.277579133811656,0.02011597755658678,0.0,4360.263281250001,1390.6808476401523,15.04448242187504,757.1379882812504,484.13524791526373,5.960000228881832,800.487988281248,541.4750757782564,15.83199462890624,29.95200195312504,21.522095120154805,18.880000000000003,20.84,23.52,4848000.0,36172000.0,104800000.0
